BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
15.0,3.0,0.0,0.0,28.0,8.0,0.24,14.0,4.0,0.5,40.0,1.0,0.0,34.0,3.0,56.82,11.24,7181.41,0.21,115.0,0.09,398.97,638.78,0.13,7.0,14.0,34.0,0.2,53.0,62.0,33.0,14.0,40.0,0.0,34.0,0
11.0,13.0,2.0,50.0,20.0,6.0,0.1,10.0,4.0,0.67,35.0,1.0,0.0,61.0,1.0,164.89,6.87,7793.81,0.38,182.0,0.15,432.99,1133.65,0.17,5.0,10.0,31.0,0.04,80.0,102.0,64.0,11.0,164.0,46.02,63.0,0
3.0,1.0,0.0,0.0,4.0,2.0,0.14,2.0,2.0,1.0,9.0,1.0,0.0,14.0,6.0,18.15,15.0,4084.22,0.09,63.0,0.07,226.9,272.28,0.5,1.0,2.0,9.0,0.12,30.0,33.0,10.0,10.0,17.0,0.0,14.0,0
5.0,3.0,0.0,1.0,8.0,3.0,0.25,4.0,3.0,1.0,10.0,1.0,0.0,12.0,1.0,19.74,11.67,2687.08,0.08,49.0,0.09,149.28,230.32,0.33,2.0,4.0,9.0,0.14,20.0,29.0,12.0,14.0,21.0,7.69,12.0,0
3.0,2.0,0.0,0.0,4.0,2.0,0.33,2.0,1.0,0.5,7.0,1.0,0.0,6.0,2.0,15.9,6.43,656.91,0.03,25.0,0.16,36.5,102.19,0.5,1.0,2.0,7.0,0.25,9.0,16.0,7.0,10.0,8.0,0.0,6.0,0
11.0,1.0,0.0,1.0,20.0,6.0,0.43,10.0,2.0,0.33,21.0,4.0,0.6,14.0,3.0,16.12,22.73,8332.05,0.12,74.0,0.04,462.89,366.61,0.67,5.0,10.0,17.0,0.35,25.0,49.0,11.0,20.0,17.0,6.67,14.0,0
5.0,1.0,0.0,0.0,8.0,3.0,0.43,4.0,2.0,0.67,10.0,1.0,0.0,7.0,0.0,13.13,11.0,1588.72,0.05,34.0,0.09,88.26,144.43,0.33,2.0,4.0,9.0,0.25,16.0,18.0,8.0,11.0,12.0,0.0,7.0,0
7.0,2.0,0.0,0.0,12.0,4.0,0.2,6.0,4.0,1.0,14.0,1.0,0.0,20.0,1.0,32.68,13.91,6322.3,0.15,86.0,0.07,351.24,454.54,0.25,3.0,6.0,12.0,0.12,36.0,50.0,22.0,17.0,34.0,0.0,20.0,0
7.0,1.0,0.0,0.0,12.0,4.0,0.29,6.0,2.0,0.5,16.0,1.0,0.0,14.0,2.0,21.63,16.67,6009.19,0.12,75.0,0.06,333.84,360.55,0.25,3.0,6.0,14.0,0.18,25.0,50.0,12.0,16.0,22.0,0.0,14.0,0
3.0,1.0,1.0,25.0,4.0,2.0,0.11,2.0,2.0,1.0,12.0,1.0,0.0,18.0,0.0,27.79,12.66,4451.81,0.12,71.0,0.08,247.32,351.75,0.5,1.0,2.0,12.0,0.04,27.0,44.0,16.0,15.0,54.0,59.09,19.0,1
9.0,1.0,0.0,0.0,16.0,5.0,0.25,8.0,4.0,0.8,22.0,1.0,0.0,20.0,0.0,17.14,43.85,32955.41,0.25,149.0,0.02,1830.86,751.61,0.2,4.0,8.0,19.0,0.24,57.0,92.0,13.0,20.0,21.0,0.0,20.0,0
3.0,0.0,0.0,0.0,4.0,2.0,0.2,2.0,1.0,0.5,6.0,1.0,0.0,10.0,2.0,8.79,12.0,1265.83,0.04,27.0,0.08,70.32,105.49,0.5,1.0,2.0,6.0,0.14,12.0,15.0,5.0,10.0,14.0,0.0,10.0,0
11.0,5.0,2.0,0.0,8.0,7.0,0.29,2.0,5.0,0.71,18.0,4.0,0.5,22.0,0.0,32.24,15.65,7898.75,0.17,93.0,0.06,438.82,504.64,0.57,3.0,4.0,13.0,0.21,36.0,57.0,23.0,20.0,33.0,8.33,24.0,0
11.0,3.0,0.0,0.0,20.0,6.0,0.27,10.0,4.0,0.67,26.0,1.0,0.0,22.0,0.0,33.56,12.02,4852.71,0.13,80.0,0.08,269.59,403.55,0.17,5.0,10.0,22.0,0.26,37.0,43.0,20.0,13.0,23.0,0.0,22.0,0
5.0,0.0,0.0,0.0,6.0,3.0,0.6,2.0,1.0,0.33,7.0,3.0,1.0,5.0,1.0,13.11,4.8,301.96,0.02,17.0,0.21,16.78,62.91,1.0,2.0,3.0,6.0,0.5,6.0,11.0,5.0,8.0,6.0,0.0,5.0,0
7.0,1.0,2.0,7.0,12.0,4.0,0.29,6.0,2.0,0.5,13.0,1.0,0.0,12.0,0.0,32.54,10.88,3848.89,0.12,69.0,0.09,213.83,353.92,0.25,3.0,6.0,11.0,0.15,29.0,40.0,20.0,15.0,26.0,42.86,14.0,1
9.0,5.0,0.0,0.0,16.0,5.0,0.45,8.0,4.0,0.8,21.0,3.0,0.5,11.0,0.0,15.17,23.86,8637.06,0.12,77.0,0.04,479.84,361.93,0.6,4.0,8.0,18.0,0.33,35.0,42.0,11.0,15.0,15.0,0.0,11.0,0
7.0,2.0,0.0,1.0,10.0,4.0,0.33,4.0,2.0,0.5,13.0,3.0,0.67,12.0,2.0,23.58,15.75,5849.31,0.12,73.0,0.06,324.96,371.38,0.75,3.0,5.0,11.0,0.21,28.0,45.0,16.0,18.0,19.0,7.69,12.0,0
5.0,1.0,0.0,1.0,8.0,3.0,0.3,4.0,2.0,0.67,9.0,1.0,0.0,10.0,1.0,12.54,12.75,2038.87,0.05,37.0,0.08,113.27,159.91,0.33,2.0,4.0,8.0,0.23,17.0,20.0,8.0,12.0,13.0,9.09,10.0,0
9.0,1.0,0.0,4.0,12.0,5.0,0.26,4.0,3.0,0.6,14.0,5.0,1.0,19.0,3.0,30.08,11.53,3998.33,0.12,70.0,0.09,222.13,346.79,1.0,4.0,6.0,11.0,0.21,28.0,42.0,17.0,14.0,24.0,17.39,19.0,0
5.0,2.0,0.0,1.0,8.0,3.0,0.23,4.0,3.0,1.0,12.0,1.0,0.0,13.0,1.0,19.11,10.5,2107.08,0.07,45.0,0.1,117.06,200.67,0.33,2.0,4.0,11.0,0.19,21.0,24.0,11.0,11.0,16.0,7.14,13.0,0
27.0,0.0,1.0,20.0,48.0,14.0,0.38,22.0,1.0,0.07,54.0,5.0,0.31,36.0,0.0,27.54,29.7,24290.93,0.27,174.0,0.03,1349.5,817.88,0.36,13.0,24.0,42.0,0.19,81.0,93.0,15.0,11.0,74.0,36.84,37.0,0
8.0,5.0,0.0,0.0,4.0,6.0,0.21,2.0,5.0,0.83,19.0,1.0,0.0,28.0,1.0,34.79,13.73,6559.11,0.16,86.0,0.07,364.4,477.69,0.17,1.0,2.0,15.0,0.17,34.0,52.0,26.0,21.0,36.0,0.0,28.0,1
9.0,2.0,0.0,0.0,14.0,5.0,0.18,6.0,4.0,0.8,25.0,3.0,0.5,28.0,2.0,21.9,24.44,13084.83,0.18,102.0,0.04,726.94,535.29,0.6,4.0,7.0,22.0,0.14,44.0,58.0,18.0,20.0,35.0,0.0,28.0,0
3.0,2.0,0.0,2.0,4.0,2.0,0.29,2.0,2.0,1.0,8.0,1.0,0.0,7.0,0.0,15.23,5.0,380.74,0.03,20.0,0.2,21.15,76.15,0.5,1.0,2.0,8.0,0.18,10.0,10.0,7.0,7.0,11.0,22.22,7.0,0
5.0,2.0,0.0,13.0,8.0,3.0,0.16,4.0,2.0,0.67,16.0,1.0,0.0,19.0,1.0,58.18,15.45,13896.4,0.3,161.0,0.06,772.02,899.18,0.33,2.0,4.0,15.0,0.07,68.0,93.0,33.0,15.0,45.0,40.63,19.0,0
11.0,8.0,0.0,6.0,18.0,6.0,0.16,8.0,6.0,1.0,28.0,6.0,1.0,38.0,0.0,66.64,21.71,31422.74,0.48,244.0,0.05,1745.71,1447.1,1.0,5.0,9.0,24.0,0.09,96.0,148.0,42.0,19.0,65.0,13.64,38.0,1
11.0,2.0,2.0,13.0,18.0,6.0,0.24,8.0,2.0,0.33,22.0,4.0,0.6,23.0,2.0,53.64,18.95,19255.97,0.34,175.0,0.05,1069.78,1016.29,0.67,5.0,9.0,18.0,0.13,80.0,95.0,38.0,18.0,47.0,39.47,25.0,0
11.0,2.0,0.0,0.0,20.0,6.0,0.35,10.0,3.0,0.5,22.0,1.0,0.0,17.0,0.0,14.61,21.67,6860.09,0.11,71.0,0.05,381.12,316.62,0.17,5.0,10.0,18.0,0.32,30.0,41.0,9.0,13.0,19.0,0.0,17.0,0
17.0,2.0,0.0,5.0,24.0,9.0,0.45,8.0,4.0,0.44,26.0,9.0,1.0,20.0,0.0,31.49,19.57,12054.49,0.21,115.0,0.05,669.69,616.12,1.0,8.0,12.0,19.0,0.24,50.0,65.0,23.0,18.0,37.0,20.0,20.0,0
15.0,6.0,0.0,0.0,28.0,8.0,0.3,14.0,8.0,1.0,37.0,1.0,0.0,27.0,2.0,31.82,22.41,15978.01,0.24,127.0,0.04,887.67,713.07,0.13,7.0,14.0,31.0,0.18,55.0,72.0,27.0,22.0,45.0,0.0,27.0,0
11.0,0.0,0.0,0.0,16.0,6.0,0.55,6.0,1.0,0.17,19.0,5.0,0.8,11.0,0.0,8.91,22.4,4472.22,0.07,47.0,0.04,248.46,199.65,0.83,5.0,8.0,15.0,0.46,16.0,31.0,5.0,14.0,13.0,0.0,11.0,0
11.0,4.0,0.0,3.0,18.0,6.0,0.25,8.0,4.0,0.67,22.0,4.0,0.6,24.0,2.0,29.2,19.5,11102.33,0.19,111.0,0.05,616.8,569.35,0.67,5.0,9.0,18.0,0.19,52.0,59.0,20.0,15.0,32.0,11.11,24.0,0
5.0,3.0,0.0,0.0,8.0,3.0,0.27,4.0,3.0,1.0,10.0,1.0,0.0,11.0,0.0,18.35,8.33,1274.38,0.05,36.0,0.12,70.8,152.93,0.33,2.0,4.0,9.0,0.21,15.0,21.0,9.0,10.0,14.0,0.0,11.0,0
5.0,3.0,0.0,2.0,8.0,3.0,0.13,4.0,3.0,1.0,17.0,1.0,0.0,23.0,0.0,37.53,13.2,6539.54,0.17,100.0,0.08,363.31,495.42,0.33,2.0,4.0,16.0,0.09,48.0,52.0,20.0,11.0,33.0,8.0,23.0,0
24.0,3.0,10.0,1.0,28.0,16.0,0.22,14.0,5.0,0.31,49.0,1.0,0.0,64.0,0.0,36.82,82.8,252471.13,1.02,488.0,0.01,14026.17,3048.99,0.06,7.0,14.0,35.0,0.2,194.0,294.0,41.0,35.0,80.0,14.67,74.0,0
9.0,0.0,0.0,0.0,16.0,5.0,0.45,8.0,1.0,0.2,18.0,4.0,0.75,11.0,0.0,7.24,21.0,3192.0,0.05,38.0,0.05,177.33,152.0,0.8,4.0,8.0,15.0,0.36,14.0,24.0,4.0,12.0,14.0,0.0,11.0,0
3.0,1.0,0.0,3.0,4.0,2.0,0.1,2.0,2.0,1.0,7.0,1.0,0.0,21.0,1.0,35.63,14.48,7465.89,0.17,99.0,0.07,414.77,515.74,0.5,1.0,2.0,7.0,0.06,38.0,61.0,21.0,16.0,33.0,12.5,21.0,0
3.0,4.0,0.0,4.0,4.0,2.0,0.14,2.0,2.0,1.0,10.0,1.0,0.0,14.0,0.0,31.45,4.73,702.84,0.05,35.0,0.21,39.05,148.68,0.5,1.0,2.0,10.0,0.08,13.0,22.0,11.0,8.0,26.0,22.22,14.0,0
3.0,1.0,0.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,6.0,1.0,0.0,3.0,0.0,11.23,14.0,2200.43,0.05,37.0,0.07,122.25,157.17,0.5,1.0,2.0,6.0,0.4,10.0,27.0,5.0,14.0,5.0,0.0,3.0,0
15.0,9.0,4.0,2.0,12.0,9.0,0.23,4.0,7.0,0.78,33.0,5.0,0.5,36.0,0.0,41.98,23.21,22625.5,0.32,165.0,0.04,1256.97,974.64,0.56,4.0,6.0,26.0,0.15,65.0,100.0,35.0,25.0,59.0,14.29,40.0,0
3.0,2.0,0.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,8.0,1.0,0.0,12.0,1.0,19.16,6.19,733.44,0.04,29.0,0.16,40.75,118.54,0.5,1.0,2.0,8.0,0.13,11.0,18.0,8.0,9.0,16.0,0.0,12.0,0
11.0,0.0,1.0,0.0,20.0,6.0,0.17,10.0,1.0,0.17,23.0,1.0,0.0,34.0,5.0,32.18,45.0,65170.26,0.48,278.0,0.02,3620.57,1448.23,0.17,5.0,10.0,19.0,0.14,132.0,146.0,22.0,15.0,43.0,2.86,35.0,0
7.0,0.0,3.0,10.0,12.0,4.0,0.16,6.0,1.0,0.25,15.0,1.0,0.0,22.0,0.0,49.56,15.25,11526.14,0.25,143.0,0.07,640.34,755.81,0.25,3.0,6.0,13.0,0.09,61.0,82.0,26.0,13.0,46.0,37.14,25.0,0
7.0,0.0,0.0,0.0,12.0,4.0,0.29,6.0,1.0,0.25,14.0,3.0,0.67,14.0,1.0,15.86,13.3,2805.08,0.07,46.0,0.08,155.84,210.91,0.75,3.0,6.0,12.0,0.25,19.0,27.0,10.0,14.0,16.0,0.0,14.0,0
29.0,3.0,0.0,34.0,52.0,15.0,0.18,24.0,6.0,0.4,63.0,5.0,0.29,83.0,0.0,88.12,40.15,142018.98,1.18,558.0,0.02,7889.94,3537.64,0.33,14.0,26.0,50.0,0.12,262.0,296.0,62.0,19.0,126.0,29.06,83.0,0
3.0,2.0,0.0,4.0,4.0,2.0,0.06,2.0,1.0,0.5,8.0,1.0,0.0,35.0,0.0,100.04,13.22,17485.4,0.44,213.0,0.08,971.41,1322.61,0.5,1.0,2.0,8.0,0.04,104.0,109.0,59.0,15.0,48.0,10.26,35.0,0
51.0,0.0,0.0,13.0,84.0,26.0,0.36,34.0,1.0,0.04,86.0,13.0,0.48,72.0,0.0,67.01,40.21,108344.7,0.9,425.0,0.02,6019.15,2694.44,0.5,25.0,42.0,62.0,0.24,191.0,234.0,57.0,24.0,109.0,15.29,72.0,0
11.0,1.0,5.0,0.0,20.0,6.0,0.22,10.0,2.0,0.33,24.0,4.0,0.6,22.0,1.0,16.21,46.93,35696.56,0.25,146.0,0.02,1983.14,760.58,0.67,5.0,10.0,20.0,0.21,64.0,82.0,15.0,22.0,29.0,18.52,27.0,0
27.0,11.0,0.0,8.0,34.0,14.0,0.3,10.0,4.0,0.29,65.0,9.0,0.62,46.0,0.0,68.52,22.38,34316.47,0.51,238.0,0.04,1906.47,1533.42,0.64,12.0,17.0,53.0,0.07,111.0,127.0,62.0,25.0,211.0,14.81,46.0,0
20.0,6.0,6.0,20.0,28.0,12.0,0.16,14.0,7.0,0.58,50.0,1.0,0.0,71.0,0.0,47.35,53.47,135395.77,0.84,393.0,0.02,7521.99,2532.08,0.08,7.0,14.0,40.0,0.1,175.0,218.0,54.0,33.0,119.0,26.8,77.0,0
5.0,6.0,0.0,27.0,8.0,3.0,0.1,4.0,1.0,0.33,22.0,1.0,0.0,31.0,2.0,87.22,17.4,26406.88,0.51,252.0,0.06,1467.05,1517.64,0.33,2.0,4.0,21.0,0.04,116.0,136.0,50.0,15.0,71.0,46.55,31.0,0
11.0,4.0,0.0,0.0,18.0,6.0,0.43,8.0,4.0,0.67,20.0,6.0,1.0,14.0,1.0,16.89,18.31,5659.53,0.1,63.0,0.05,314.42,309.13,1.0,5.0,9.0,16.0,0.4,28.0,35.0,13.0,17.0,15.0,0.0,14.0,0
13.0,8.0,0.0,42.0,18.0,7.0,0.06,8.0,4.0,0.57,38.0,3.0,0.33,120.0,1.0,118.33,59.93,424927.99,2.36,1002.0,0.02,23607.11,7090.97,0.43,5.0,9.0,33.0,0.03,458.0,544.0,107.0,28.0,218.0,25.93,120.0,1
3.0,1.0,0.0,2.0,4.0,2.0,0.29,2.0,2.0,1.0,6.0,1.0,0.0,7.0,0.0,16.5,6.0,593.95,0.03,26.0,0.17,33.0,98.99,0.5,1.0,2.0,6.0,0.14,12.0,14.0,7.0,7.0,14.0,22.22,7.0,0
39.0,8.0,3.0,22.0,64.0,20.0,0.24,30.0,7.0,0.35,74.0,15.0,0.74,80.0,3.0,52.36,40.4,85440.05,0.71,325.0,0.02,4746.67,2115.03,0.75,17.0,32.0,56.0,0.14,142.0,183.0,58.0,33.0,145.0,23.81,83.0,0
9.0,3.0,3.0,1.0,16.0,5.0,0.26,8.0,2.0,0.4,18.0,1.0,0.0,16.0,0.0,17.63,24.81,10852.6,0.15,91.0,0.04,602.92,437.47,0.2,4.0,8.0,15.0,0.19,43.0,48.0,13.0,15.0,26.0,20.0,19.0,0
11.0,5.0,0.0,7.0,16.0,6.0,0.29,8.0,6.0,1.0,22.0,5.0,0.8,21.0,2.0,41.15,14.0,8065.52,0.19,109.0,0.07,448.08,576.11,0.83,4.0,8.0,18.0,0.16,50.0,59.0,25.0,14.0,38.0,25.0,21.0,0
3.0,1.0,0.0,0.0,4.0,2.0,0.22,2.0,2.0,1.0,7.0,1.0,0.0,9.0,3.0,15.57,7.5,875.68,0.04,28.0,0.13,48.65,116.76,0.5,1.0,2.0,7.0,0.17,12.0,16.0,8.0,10.0,12.0,0.0,9.0,0
7.0,0.0,0.0,0.0,12.0,4.0,0.15,6.0,1.0,0.25,14.0,1.0,0.0,26.0,0.0,47.13,21.56,21902.46,0.34,185.0,0.05,1216.8,1015.99,0.25,3.0,6.0,12.0,0.14,59.0,126.0,26.0,19.0,28.0,0.0,26.0,0
5.0,3.0,0.0,0.0,8.0,3.0,0.43,4.0,3.0,1.0,15.0,1.0,0.0,7.0,0.0,17.66,11.5,2336.0,0.07,47.0,0.09,129.78,203.13,0.33,2.0,4.0,14.0,0.38,23.0,24.0,10.0,10.0,8.0,0.0,7.0,0
3.0,3.0,0.0,0.0,4.0,2.0,0.25,2.0,2.0,1.0,7.0,1.0,0.0,8.0,0.0,19.43,9.92,1911.12,0.06,41.0,0.1,106.17,192.72,0.5,1.0,2.0,7.0,0.22,17.0,24.0,12.0,14.0,9.0,0.0,8.0,0
5.0,1.0,0.0,0.0,6.0,3.0,0.2,2.0,1.0,0.33,9.0,3.0,1.0,15.0,0.0,30.72,25.5,19978.47,0.26,154.0,0.04,1109.91,783.47,1.0,2.0,3.0,8.0,0.18,51.0,103.0,17.0,17.0,17.0,0.0,15.0,0
11.0,8.0,0.0,15.0,18.0,6.0,0.14,8.0,3.0,0.5,25.0,1.0,0.0,44.0,0.0,72.17,16.4,19400.82,0.39,202.0,0.06,1077.82,1183.31,0.17,5.0,9.0,21.0,0.08,94.0,108.0,43.0,15.0,75.0,25.42,44.0,0
7.0,1.0,0.0,0.0,12.0,4.0,0.44,6.0,2.0,0.5,14.0,3.0,0.67,9.0,0.0,10.4,19.0,3755.43,0.07,45.0,0.05,208.64,197.65,0.75,3.0,6.0,12.0,0.33,19.0,26.0,7.0,14.0,12.0,0.0,9.0,0
5.0,1.0,0.0,0.0,8.0,3.0,0.38,4.0,2.0,0.67,10.0,3.0,1.0,8.0,0.0,10.76,14.86,2375.83,0.05,37.0,0.07,131.99,159.91,1.0,2.0,4.0,9.0,0.3,16.0,21.0,7.0,13.0,10.0,0.0,8.0,0
3.0,1.0,0.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,5.0,1.0,0.0,5.0,0.0,14.06,8.13,927.88,0.04,26.0,0.12,51.55,114.2,0.5,1.0,2.0,5.0,0.25,10.0,16.0,8.0,13.0,8.0,0.0,5.0,0
49.0,12.0,2.0,1.0,96.0,25.0,0.17,48.0,22.0,0.88,139.0,19.0,0.75,142.0,2.0,129.08,40.59,212710.32,1.75,751.0,0.02,11817.24,5239.94,0.76,24.0,48.0,116.0,0.16,328.0,423.0,101.0,25.0,156.0,2.07,144.0,0
23.0,5.0,2.0,10.0,32.0,14.0,0.17,16.0,6.0,0.43,51.0,1.0,0.0,82.0,0.0,34.47,45.43,71132.77,0.52,260.0,0.02,3951.82,1565.82,0.07,8.0,16.0,39.0,0.09,106.0,154.0,35.0,30.0,152.0,12.77,84.0,0
5.0,0.0,0.0,0.0,8.0,3.0,0.5,4.0,1.0,0.33,9.0,1.0,0.0,6.0,1.0,15.36,4.9,368.89,0.03,21.0,0.2,20.49,75.28,0.33,2.0,4.0,8.0,0.43,7.0,14.0,5.0,7.0,7.0,0.0,6.0,0
